iter	Passed	Remaining
969	13215	408
970	13239	395
971	13259	381
972	13275	368
973	13291	354
974	13307	341
975	13324	327
976	13341	314
977	13358	300
978	13374	286
979	13391	273
980	13405	259
981	13420	245
982	13435	232
983	13447	218
984	13462	205
985	13477	191
986	13492	177
987	13507	164
988	13522	150
989	13538	136
990	13552	123
991	13567	109
992	13582	95
993	13594	82
994	13610	68
995	13627	54
996	13644	41
997	13659	27
998	13674	13
999	13689	0
